transaction_id,date,customer_id,product,category,region,channel,quantity,unit_price,discount,revenue
T00043,2025-09-08,C0217,Mechanical Keyboard,Accessories,East,Online,3,113.18,0.1,305.59
T00044,2025-01-02,C0380,Wireless Mouse,Accessories,West,Partner,2,47.6,0.05,90.44
T00045,2025-12-28,C0354,USB-C Dock,Accessories,South,Partner,2,167.49,0,334.98
T00046,2025-01-19,C0158,Wireless Mouse,Accessories,East,Online,2,46.81,0,93.62
T00047,2025-07-03,C0287,24in Monitor,Monitors,West,Partner,2,224.98,0.05,427.46
T00048,2025-03-21,C0212,24in Monitor,Monitors,North,Online,3,237.54,0.2,570.1
T00049,2025-06-20,C0137,USB-C Dock,Accessories,South,Partner,3,164.93,0.1,445.31
T00050,2025-02-25,C0236,USB-C Dock,Accessories,East,Retail,3,153.7,0.1,414.99
T00051,2025-04-27,C0036,24in Monitor,Monitors,East,Retail,1,224.28,0,224.28
T00052,2025-11-25,C0015,Webcam HD,Accessories,North,Retail,1,89.39,0.2,71.51
T00053,2025-04-02,C0223,Tablet 11,Tablets,East,Partner,4,475.55,0,1902.2
T00054,2025-06-10,C0296,USB-C Dock,Accessories,South,Retail,2,156.81,0.05,297.94
T00055,2025-01-23,C0352,Smartphone Lite,Phones,South,Retail,1,517.35,0.05,491.48
T00056,2025-08-09,C0340,Laptop Air 13,Computers,North,Partner,4,1013.76,0.15,3446.78
T00057,2025-06-03,C0152,Webcam HD,Accessories,South,Online,1,87.96,0,87.96
T00058,2025-08-04,C0316,Smartphone X,Phones,East,Retail,4,837.62,0.05,3182.96
T00059,2025-10-08,C0311,Laptop Pro 14,Computers,East,Retail,1,1343.54,0,1343.54
T00060,2025-08-15,C0377,Noise-Cancel Headset,Audio,South,Partner,2,185.31,0.05,352.09
T00061,2025-02-13,C0385,Mechanical Keyboard,Accessories,South,Partner,1,116.65,0.05,110.82
T00062,2025-06-08,C0244,24in Monitor,Monitors,North,Retail,3,216.53,0,649.59
T00063,2025-08-01,C0205,Smartphone X,Phones,South,Online,2,787.88,0.1,1418.18
T00064,2025-12-02,C0055,Smartphone Lite,Phones,West,Online,1,515.17,0.1,463.65
T00065,2025-04-01,C0063,Smartphone Lite,Phones,West,Online,1,483.98,0,483.98
T00066,2025-08-26,C0387,Smartphone X,Phones,West,Partner,2,781.48,0.05,1484.81
T00067,2025-09-16,C0381,USB-C Dock,Accessories,West,Retail,3,166.58,0.05,474.75
T00068,2025-05-13,C0249,24in Monitor,Monitors,South,Retail,3,236.63,0,709.89
T00069,2025-08-14,C0277,Laptop Air 13,Computers,North,Online,2,979.32,0,1958.64
T00070,2025-03-19,C0213,24in Monitor,Monitors,West,Retail,1,221.14,0,221.14
T00071,2025-10-05,C0395,Noise-Cancel Headset,Audio,North,Partner,1,177.28,0,177.28
T00072,2025-07-14,C0215,Noise-Cancel Headset,Audio,South,Retail,1,184.44,0,184.44
T00073,2025-04-23,C0348,Mechanical Keyboard,Accessories,West,Partner,1,116.66,0,116.66
T00074,2025-03-26,C0202,Noise-Cancel Headset,Audio,North,Online,3,179.73,0.2,431.35
T00075,2025-11-26,C0195,USB-C Dock,Accessories,East,Online,1,150.42,0.05,142.9
T00076,2025-08-21,C0216,Wireless Mouse,Accessories,East,Online,1,47.7,0.1,42.93
T00077,2025-08-29,C0115,Laptop Pro 14,Computers,North,Partner,2,1369.45,0,2738.9
T00078,2025-01-21,C0079,Laptop Pro 14,Computers,South,Online,4,1224.24,0,4896.96
T00079,2025-08-31,C0132,Smartphone X,Phones,East,Online,1,795.65,0.15,676.3
T00080,2025-11-07,C0084,Tablet 11,Tablets,East,Online,4,515.63,0.1,1856.27
T00081,2025-10-24,C0193,Laptop Pro 14,Computers,West,Partner,4,1362.6,0.05,5177.88
T00082,2025-04-12,C0357,Laptop Air 13,Computers,East,Partner,2,968.17,0.1,1742.71
T00083,2025-11-04,C0273,Laptop Air 13,Computers,West,Partner,2,943.98,0.05,1793.56
T00084,2025-07-09,C0251,Laptop Air 13,Computers,North,Retail,1,1040.91,0,1040.91
T00085,2025-07-05,C0091,Smartphone X,Phones,East,Partner,3,765.73,0.05,2182.33
T00086,2025-10-03,C0166,Noise-Cancel Headset,Audio,South,Online,1,180.99,0.1,162.89
T00087,2025-05-23,C0195,Noise-Cancel Headset,Audio,East,Online,1,181.37,0.05,172.3
T00088,2025-09-11,C0175,Wireless Mouse,Accessories,East,Partner,1,50.75,0,50.75
T00089,2025-12-26,C0124,Mechanical Keyboard,Accessories,West,Retail,2,114.59,0.05,217.72
T00090,2025-10-12,C0009,24in Monitor,Monitors,North,Retail,2,228.75,0.05,434.62
T00091,2025-04-24,C0243,USB-C Dock,Accessories,East,Retail,2,160.56,0,321.12
T00092,2025-10-09,C0119,Wireless Mouse,Accessories,North,Partner,1,47.86,0.05,45.47
T00093,2025-04-09,C0095,Wireless Mouse,Accessories,South,Online,1,50.54,0.05,48.01
T00094,2025-09-05,C0145,Mechanical Keyboard,Accessories,North,Online,2,119.35,0.2,190.96
T00095,2025-06-01,C0065,24in Monitor,Monitors,East,Online,1,234.72,0,234.72
T00096,2025-01-28,C0386,Webcam HD,Accessories,West,Online,1,90.47,0.15,76.9
T00097,2025-01-07,C0027,Tablet 11,Tablets,East,Retail,1,489.46,0.05,464.99
T00098,2025-02-28,C0028,Laptop Air 13,Computers,South,Online,1,1014.52,0,1014.52
T00099,2025-10-16,C0214,Mechanical Keyboard,Accessories,South,Partner,1,119.83,0,119.83
T00100,2025-07-14,C0220,Noise-Cancel Headset,Audio,East,Partner,3,180.9,0,542.7
T00101,2025-11-14,C0107,Laptop Pro 14,Computers,South,Retail,2,1368.77,0.1,2463.79
T00102,2025-12-05,C0002,Laptop Air 13,Computers,West,Retail,1,948.06,0,948.06
T00103,2025-12-19,C0145,Tablet 11,Tablets,West,Online,1,486.31,0,486.31
T00104,2025-12-18,C0339,24in Monitor,Monitors,South,Retail,4,232.44,0.1,836.78
T00105,2025-02-28,C0073,Webcam HD,Accessories,North,Online,1,86.5,0,86.5
T00106,2025-03-26,C0225,Mechanical Keyboard,Accessories,North,Retail,2,125.01,0.1,225.02
T00107,2025-12-19,C0253,Mechanical Keyboard,Accessories,West,Online,2,119.01,0.15,202.32
T00108,2025-11-03,C0014,Laptop Pro 14,Computers,North,Online,3,1315.17,0.1,3550.96
T00109,2025-12-12,C0138,Tablet 11,Tablets,North,Online,2,514.85,0,1029.7
T00110,2025-08-29,C0300,Webcam HD,Accessories,West,Partner,2,85.6,0.15,145.52
T00111,2025-09-09,C0054,Laptop Air 13,Computers,South,Retail,1,977.55,0,977.55
T00112,2025-07-30,C0390,Smartphone Lite,Phones,North,Retail,1,493.04,0.05,468.39
T00113,2025-02-15,C0264,Wireless Mouse,Accessories,North,Partner,1,50.6,0,50.6
T00114,2025-10-05,C0388,Noise-Cancel Headset,Audio,West,Partner,1,176.03,0,176.03
T00115,2025-08-15,C0225,Laptop Pro 14,Computers,West,Online,1,1365.67,0.05,1297.39
T00116,2025-01-15,C0283,Smartphone X,Phones,North,Partner,2,766.25,0,1532.5
T00117,2025-07-28,C0061,Laptop Air 13,Computers,South,Retail,1,952.66,0.1,857.39
T00118,2025-05-30,C0242,Webcam HD,Accessories,South,Retail,2,88.81,0,177.62
T00119,2025-10-10,C0070,27in Monitor,Monitors,North,Retail,1,349.35,0.15,296.95
T00120,2025-08-01,C0145,Wireless Mouse,Accessories,East,Partner,4,50.88,0.05,193.34
T00121,2025-10-24,C0177,Smartphone X,Phones,East,Partner,1,802.7,0,802.7
T00122,2025-10-06,C0358,USB-C Dock,Accessories,South,Partner,1,153.06,0,153.06
T00123,2025-07-16,C0243,24in Monitor,Monitors,West,Retail,3,224.0,0,672.0
T00124,2025-12-06,C0258,Smartphone X,Phones,East,Online,5,754.61,0.05,3584.4
T00125,2025-08-14,C0210,Laptop Air 13,Computers,South,Online,2,1025.67,0.05,1948.77
T00126,2025-08-29,C0169,Mechanical Keyboard,Accessories,West,Retail,1,121.14,0.05,115.08
T00127,2025-11-17,C0317,Smartphone Lite,Phones,North,Online,3,501.46,0.05,1429.16
T00128,2025-11-20,C0223,Smartphone X,Phones,North,Partner,4,822.66,0.2,2632.51
T00129,2025-12-27,C0024,Laptop Air 13,Computers,East,Online,1,1047.36,0.05,994.99
T00130,2025-05-31,C0290,Wireless Mouse,Accessories,South,Online,1,49.18,0,49.18
T00131,2025-03-31,C0255,Laptop Air 13,Computers,South,Online,2,1020.95,0,2041.9
T00132,2025-08-25,C0239,Smartphone X,Phones,East,Partner,1,751.96,0,751.96
T00133,2025-10-07,C0154,27in Monitor,Monitors,West,Partner,1,369.42,0.15,314.01
T00134,2025-05-09,C0248,Noise-Cancel Headset,Audio,North,Online,3,176.52,0,529.56
T00135,2025-07-15,C0012,Tablet 11,Tablets,West,Retail,1,510.93,0,510.93
T00136,2025-01-05,C0311,Tablet 11,Tablets,West,Retail,3,527.36,0.1,1423.87
T00137,2025-04-28,C0129,Tablet 11,Tablets,South,Partner,3,480.45,0,1441.35
T00138,2025-02-19,C0297,Smartphone X,Phones,East,Partner,2,793.33,0,1586.66
T00139,2025-03-09,C0103,Laptop Air 13,Computers,South,Partner,3,988.87,0,2966.61
T00140,2025-07-07,C0247,Webcam HD,Accessories,East,Partner,1,85.42,0,85.42
T00141,2025-06-23,C0116,Laptop Air 13,Computers,West,Partner,1,1029.47,0,1029.47
T00142,2025-07-07,C0233,Laptop Air 13,Computers,East,Partner,2,1003.38,0,2006.76
T00143,2025-12-11,C0056,Mechanical Keyboard,Accessories,South,Retail,2,125.29,0.1,225.52
T00144,2025-01-13,C0114,Tablet 11,Tablets,North,Partner,3,523.87,0.05,1493.03
T00145,2025-08-26,C0020,Smartphone Lite,Phones,East,Retail,1,477.43,0,477.43
T00146,2025-03-01,C0190,Laptop Air 13,Computers,West,Partner,1,985.65,0.05,936.37
T00147,2025-03-21,C0144,USB-C Dock,Accessories,North,Partner,2,161.21,0.1,290.18
T00148,2025-07-09,C0051,24in Monitor,Monitors,East,Partner,1,238.77,0.15,202.95
T00149,2025-11-27,C0233,Wireless Mouse,Accessories,North,Partner,1,51.75,0,51.75
T00150,2025-04-19,C0171,Smartphone X,Phones,South,Online,2,755.91,0.2,1209.46
T00151,2025-10-17,C0111,24in Monitor,Monitors,South,Retail,1,220.95,0.1,198.85
T00152,2025-03-17,C0067,Tablet 11,Tablets,East,Online,1,477.72,0.1,429.95
T00153,2025-02-26,C0122,Smartphone X,Phones,East,Online,3,785.41,0,2356.23
T00154,2025-03-31,C0382,Mechanical Keyboard,Accessories,North,Retail,1,119.37,0.1,107.43
T00155,2025-08-18,C0315,Wireless Mouse,Accessories,North,Partner,1,49.02,0,49.02
T00156,2025-12-04,C0246,Webcam HD,Accessories,West,Retail,1,83.99,0.05,79.79
T00157,2025-12-18,C0042,Laptop Air 13,Computers,East,Partner,1,947.87,0.15,805.69
T00158,2025-03-17,C0365,Laptop Air 13,Computers,East,Retail,1,1009.23,0.05,958.77
T00159,2025-11-02,C0360,Webcam HD,Accessories,North,Partner,1,88.25,0.05,83.84
T00160,2025-11-30,C0117,Webcam HD,Accessories,West,Retail,2,88.48,0,176.96
T00161,2025-08-21,C0341,USB-C Dock,Accessories,East,Retail,1,157.6,0,157.6
T00162,2025-03-20,C0048,Smartphone X,Phones,West,Online,4,830.81,0,3323.24
T00163,2025-07-10,C0169,27in Monitor,Monitors,North,Retail,2,351.58,0.05,668.0
T00164,2025-07-01,C0027,Smartphone X,Phones,East,Partner,4,838.87,0,3355.48
T00165,2025-06-09,C0247,Wireless Mouse,Accessories,South,Online,1,46.97,0.05,44.62
T00166,2025-06-29,C0220,Webcam HD,Accessories,North,Partner,1,89.79,0.1,80.81
T00167,2025-12-03,C0159,Smartphone Lite,Phones,East,Retail,1,511.14,0,511.14
T00168,2025-01-04,C0073,27in Monitor,Monitors,North,Online,3,344.84,0.05,982.79
T00169,2025-09-29,C0160,24in Monitor,Monitors,East,Partner,1,219.59,0.05,208.61
T00170,2025-11-02,C0026,Laptop Air 13,Computers,North,Retail,3,1029.5,0,3088.5
T00171,2025-08-15,C0111,Smartphone X,Phones,North,Retail,1,790.77,0.05,751.23
T00172,2025-08-09,C0342,Laptop Air 13,Computers,East,Online,1,997.4,0.05,947.53
T00173,2025-04-23,C0109,USB-C Dock,Accessories,South,Retail,5,153.36,0,766.8
T00174,2025-05-29,C0067,Wireless Mouse,Accessories,West,Partner,1,48.59,0.05,46.16
T00175,2025-12-27,C0037,24in Monitor,Monitors,West,Partner,1,237.41,0.1,213.67
T00176,2025-01-22,C0295,USB-C Dock,Accessories,West,Partner,1,165.91,0.15,141.02
T00177,2025-07-27,C0167,Smartphone Lite,Phones,South,Partner,2,493.31,0,986.62
T00178,2025-08-24,C0125,Smartphone Lite,Phones,West,Partner,3,519.63,0,1558.89
T00179,2025-07-25,C0114,Webcam HD,Accessories,East,Online,1,91.63,0.1,82.47
T00180,2025-02-09,C0398,Webcam HD,Accessories,East,Retail,2,85.73,0.05,162.89
T00181,2025-11-27,C0309,27in Monitor,Monitors,South,Partner,1,336.32,0,336.32
T00182,2025-02-08,C0289,27in Monitor,Monitors,West,Partner,4,347.49,0.05,1320.46
T00183,2025-10-17,C0322,Smartphone X,Phones,East,Online,2,833.92,0.05,1584.45
T00184,2025-08-14,C0303,Laptop Air 13,Computers,North,Retail,1,1034.52,0.05,982.79
T00185,2025-09-17,C0147,Laptop Air 13,Computers,North,Partner,1,945.88,0.05,898.59
T00186,2025-02-16,C0379,Tablet 11,Tablets,North,Retail,2,503.81,0,1007.62
T00187,2025-10-20,C0032,Smartphone X,Phones,West,Online,1,799.13,0.05,759.17
T00188,2025-06-25,C0363,Smartphone Lite,Phones,West,Retail,1,471.4,0.05,447.83
T00189,2025-09-26,C0199,Webcam HD,Accessories,West,Retail,2,93.46,0,186.92
T00190,2025-12-14,C0169,Tablet 11,Tablets,North,Partner,1,489.1,0.05,464.64
T00191,2025-12-14,C0309,USB-C Dock,Accessories,South,Retail,1,161.99,0.1,145.79
T00192,2025-02-11,C0336,Tablet 11,Tablets,West,Online,2,487.64,0.15,828.99
T00193,2025-11-01,C0169,Smartphone Lite,Phones,South,Partner,4,491.62,0,1966.48
T00194,2025-12-26,C0344,Smartphone Lite,Phones,West,Partner,5,474.66,0.15,2017.31
T00195,2025-07-05,C0393,Laptop Pro 14,Computers,West,Online,1,1254.45,0,1254.45
T00196,2025-04-26,C0260,27in Monitor,Monitors,North,Partner,1,361.07,0,361.07
T00197,2025-06-22,C0355,Tablet 11,Tablets,South,Partner,1,478.78,0,478.78
T00198,2025-08-13,C0228,Laptop Pro 14,Computers,East,Partner,1,1258.09,0.05,1195.19
T00199,2025-08-18,C0241,24in Monitor,Monitors,South,Retail,2,237.48,0,474.96
T00200,2025-12-14,C0196,Tablet 11,Tablets,West,Online,5,485.93,0.05,2308.17
T00201,2025-04-13,C0191,Tablet 11,Tablets,North,Partner,1,507.45,0,507.45
T00202,2025-09-22,C0263,Laptop Air 13,Computers,South,Retail,1,971.76,0.1,874.58
T00203,2025-02-16,C0213,24in Monitor,Monitors,North,Retail,3,240.83,0.15,614.12
T00204,2025-09-15,C0015,Wireless Mouse,Accessories,East,Online,1,48.26,0.2,38.61
T00205,2025-11-29,C0242,Wireless Mouse,Accessories,South,Partner,2,47.75,0,95.5
T00206,2025-08-29,C0111,Noise-Cancel Headset,Audio,South,Partner,2,168.67,0.15,286.74
T00207,2025-11-08,C0063,Webcam HD,Accessories,North,Online,1,86.2,0.1,77.58
T00208,2025-08-03,C0256,Smartphone X,Phones,North,Partner,2,761.69,0.05,1447.21
T00209,2025-09-21,C0315,Tablet 11,Tablets,East,Online,1,494.76,0,494.76
T00210,2025-10-20,C0185,USB-C Dock,Accessories,North,Partner,1,159.45,0.05,151.48
T00211,2025-10-06,C0241,Webcam HD,Accessories,North,Partner,2,83.88,0.05,159.37
T00212,2025-07-18,C0177,Wireless Mouse,Accessories,South,Partner,1,50.7,0,50.7
T00213,2025-12-03,C0069,Smartphone X,Phones,North,Retail,1,823.61,0.05,782.43
T00214,2025-10-07,C0238,Wireless Mouse,Accessories,West,Partner,3,50.64,0,151.92
T00215,2025-04-04,C0151,27in Monitor,Monitors,South,Online,1,347.23,0.1,312.51
T00216,2025-04-13,C0279,Laptop Pro 14,Computers,West,Retail,1,1283.14,0,1283.14
T00217,2025-01-19,C0336,Smartphone X,Phones,East,Retail,1,825.93,0,825.93
T00218,2025-03-05,C0198,Wireless Mouse,Accessories,East,Online,1,48.65,0,48.65
T00219,2025-09-12,C0043,Smartphone Lite,Phones,West,Online,1,500.15,0.15,425.13
T00220,2025-08-09,C0053,Tablet 11,Tablets,North,Retail,5,486.65,0,2433.25
T00221,2025-12-05,C0354,Mechanical Keyboard,Accessories,West,Retail,1,117.94,0.05,112.04
T00222,2025-08-17,C0223,Laptop Pro 14,Computers,East,Partner,2,1316.9,0.15,2238.73
T00223,2025-01-30,C0384,Laptop Air 13,Computers,South,Online,2,1000.57,0,2001.14
T00224,2025-03-15,C0121,Tablet 11,Tablets,East,Retail,2,476.62,0,953.24
T00225,2025-07-16,C0190,Tablet 11,Tablets,East,Retail,1,496.0,0,496.0
T00226,2025-02-09,C0143,Tablet 11,Tablets,South,Online,1,487.89,0,487.89
T00227,2025-01-14,C0061,Smartphone Lite,Phones,East,Retail,1,523.76,0.05,497.57
T00228,2025-12-27,C0252,Noise-Cancel Headset,Audio,South,Online,1,183.17,0.05,174.01
T00229,2025-03-11,C0045,Laptop Air 13,Computers,East,Partner,1,992.42,0.15,843.56
T00230,2025-06-27,C0081,Smartphone Lite,Phones,South,Retail,1,522.43,0.05,496.31
T00231,2025-09-18,C0253,24in Monitor,Monitors,North,Retail,1,219.08,0,219.08
T00232,2025-10-11,C0314,Tablet 11,Tablets,North,Online,1,502.09,0.1,451.88
T00233,2025-06-08,C0394,USB-C Dock,Accessories,West,Partner,5,159.49,0.1,717.71
T00234,2025-02-07,C0349,27in Monitor,Monitors,East,Online,4,346.9,0.05,1318.22
T00235,2025-10-10,C0258,Smartphone X,Phones,North,Online,2,763.43,0.1,1374.17
T00236,2025-09-23,C0116,27in Monitor,Monitors,East,Partner,1,367.21,0,367.21
T00237,2025-05-26,C0065,Laptop Air 13,Computers,East,Partner,1,1005.09,0.05,954.84
T00238,2025-10-01,C0079,Laptop Air 13,Computers,South,Partner,1,1051.94,0,1051.94
T00239,2025-11-16,C0022,Smartphone Lite,Phones,North,Online,3,524.38,0,1573.14
T00240,2025-01-24,C0293,Smartphone X,Phones,West,Partner,2,771.27,0,1542.54
T00241,2025-11-24,C0155,Laptop Pro 14,Computers,West,Online,1,1266.21,0.05,1202.9
T00242,2025-12-17,C0226,USB-C Dock,Accessories,West,Retail,1,150.6,0,150.6
T00243,2025-08-26,C0164,24in Monitor,Monitors,East,Retail,1,238.93,0,238.93
T00244,2025-03-08,C0063,Wireless Mouse,Accessories,East,Retail,1,47.48,0,47.48
T00245,2025-05-07,C0316,27in Monitor,Monitors,West,Online,1,344.15,0,344.15
T00246,2025-03-23,C0082,Wireless Mouse,Accessories,West,Partner,4,47.18,0.1,169.85
T00247,2025-08-28,C0202,Noise-Cancel Headset,Audio,West,Online,3,170.19,0.05,485.04
T00248,2025-04-21,C0335,Tablet 11,Tablets,West,Retail,1,498.69,0,498.69
T00249,2025-10-02,C0373,Laptop Pro 14,Computers,East,Retail,3,1358.62,0,4075.86
T00250,2025-07-07,C0284,Laptop Pro 14,Computers,East,Online,1,1251.4,0.05,1188.83
T00251,2025-07-17,C0320,Webcam HD,Accessories,North,Online,1,92.47,0.05,87.85
T00252,2025-02-19,C0188,USB-C Dock,Accessories,South,Online,1,160.1,0.2,128.08
T00253,2025-11-05,C0366,Webcam HD,Accessories,East,Retail,1,84.08,0,84.08
T00254,2025-09-23,C0314,Noise-Cancel Headset,Audio,East,Online,1,171.26,0.15,145.57
T00255,2025-07-21,C0261,Tablet 11,Tablets,West,Partner,2,489.2,0,978.4
T00256,2025-10-16,C0057,Mechanical Keyboard,Accessories,West,Partner,1,116.59,0,116.59
T00257,2025-06-07,C0136,Smartphone Lite,Phones,South,Partner,3,504.8,0.05,1438.68
T00258,2025-01-27,C0397,Tablet 11,Tablets,West,Online,1,512.24,0.05,486.63
T00259,2025-12-15,C0010,24in Monitor,Monitors,West,Retail,1,218.28,0.15,185.54
T00260,2025-08-03,C0314,27in Monitor,Monitors,West,Partner,1,349.08,0,349.08
T00261,2025-02-01,C0340,Smartphone Lite,Phones,West,Partner,1,488.52,0,488.52
T00262,2025-07-12,C0280,Wireless Mouse,Accessories,East,Partner,4,49.19,0.05,186.92
T00263,2025-12-15,C0127,Smartphone X,Phones,East,Partner,3,797.48,0,2392.44
T00264,2025-06-02,C0361,24in Monitor,Monitors,South,Partner,4,236.45,0.2,756.64
T00265,2025-12-27,C0370,Noise-Cancel Headset,Audio,East,Retail,1,188.32,0,188.32
T00266,2025-03-04,C0177,Tablet 11,Tablets,South,Retail,2,527.75,0,1055.5
T00267,2025-01-22,C0336,Mechanical Keyboard,Accessories,East,Partner,4,125.05,0,500.2
T00268,2025-09-03,C0357,24in Monitor,Monitors,East,Online,1,240.9,0.05,228.85
T00269,2025-02-25,C0272,Tablet 11,Tablets,South,Partner,2,472.1,0,944.2
T00270,2025-04-30,C0349,Laptop Pro 14,Computers,South,Online,1,1294.7,0,1294.7
T00271,2025-10-09,C0245,27in Monitor,Monitors,South,Retail,1,364.85,0.15,310.12
T00272,2025-06-14,C0294,Mechanical Keyboard,Accessories,South,Partner,2,113.14,0.15,192.34
T00273,2025-01-20,C0019,27in Monitor,Monitors,West,Retail,1,367.17,0.1,330.45
T00274,2025-04-06,C0005,Smartphone Lite,Phones,East,Partner,4,521.56,0.15,1773.3
T00275,2025-11-05,C0329,Laptop Air 13,Computers,West,Online,4,993.53,0,3974.12
T00276,2025-09-16,C0375,Noise-Cancel Headset,Audio,West,Partner,1,175.36,0.1,157.82
T00277,2025-05-12,C0291,Smartphone Lite,Phones,South,Online,1,516.41,0.1,464.77
T00278,2025-11-09,C0045,Smartphone X,Phones,West,Partner,3,800.47,0.1,2161.27
T00279,2025-02-18,C0004,27in Monitor,Monitors,East,Retail,5,367.25,0.05,1744.44
T00280,2025-05-01,C0371,Noise-Cancel Headset,Audio,North,Retail,2,174.75,0.15,297.07
T00281,2025-12-01,C0158,Wireless Mouse,Accessories,South,Retail,2,46.76,0,93.52
T00282,2025-12-18,C0354,Webcam HD,Accessories,North,Partner,4,91.88,0.15,312.39
T00283,2025-06-01,C0079,Wireless Mouse,Accessories,West,Partner,2,46.85,0,93.7
T00284,2025-11-07,C0276,Wireless Mouse,Accessories,South,Online,1,48.83,0.05,46.39
T00285,2025-12-15,C0361,Tablet 11,Tablets,East,Online,3,495.81,0,1487.43
T00286,2025-10-16,C0294,Laptop Air 13,Computers,South,Online,1,999.66,0.05,949.68
T00287,2025-06-17,C0251,Webcam HD,Accessories,North,Partner,1,91.32,0.05,86.75
T00288,2025-08-17,C0030,Laptop Pro 14,Computers,West,Partner,1,1292.27,0.05,1227.66
T00289,2025-06-07,C0112,Smartphone Lite,Phones,North,Online,1,469.24,0,469.24
T00290,2025-08-05,C0036,Wireless Mouse,Accessories,West,Online,2,46.41,0.05,88.18
T00291,2025-05-27,C0374,USB-C Dock,Accessories,West,Retail,1,161.7,0,161.7
T00292,2025-07-15,C0350,Noise-Cancel Headset,Audio,South,Partner,3,176.33,0.15,449.64
T00293,2025-06-28,C0373,Laptop Air 13,Computers,South,Online,1,1002.46,0.05,952.34
T00294,2025-01-12,C0195,Mechanical Keyboard,Accessories,South,Online,1,117.92,0.1,106.13
